datetime,predicted_direction,action,buy_price,sell_price,balance,pnl,pnl_sum
2025-03-14 12:00:00,long,same direction,81072.3,0.0,5354.14,0.0,172.33
2025-03-14 15:34:00,long,sell - take_profit,81072.3,85165.7,5621.8,5.0,177.33
2025-03-14 16:00:00,long,buy,84714.7,0.0,5618.99,-0.05,177.28
2025-03-14 20:00:00,long,same direction,84714.7,0.0,5618.99,0.0,177.28
2025-03-15 00:00:00,long,same direction,84714.7,0.0,5618.99,0.0,177.28
2025-03-15 04:00:00,long,same direction,84714.7,0.0,5618.99,0.0,177.28
2025-03-15 08:00:00,long,same direction,84714.7,0.0,5618.99,0.0,177.28
2025-03-15 12:00:00,long,same direction,84714.7,0.0,5618.99,0.0,177.28
2025-03-15 16:00:00,long,same direction,84714.7,0.0,5618.99,0.0,177.28
2025-03-15 20:00:00,long,same direction,84714.7,0.0,5618.99,0.0,177.28
2025-03-16 00:00:00,long,same direction,84714.7,0.0,5618.99,0.0,177.28
2025-03-16 04:00:00,long,same direction,84714.7,0.0,5618.99,0.0,177.28
2025-03-16 08:00:00,short,sell - direction change,84714.7,84235.8,5584.42,-0.62,176.66
2025-03-16 08:00:00,short,buy,84235.8,0.0,5581.62,-0.05,176.61
2025-03-16 12:00:00,long,sell - direction change,84235.8,82346.6,5704.01,2.19,178.81
2025-03-16 12:00:00,long,buy,82346.6,0.0,5701.16,-0.05,178.76
2025-03-16 16:00:00,long,same direction,82346.6,0.0,5701.16,0.0,178.76
2025-03-16 20:00:00,long,same direction,82346.6,0.0,5701.16,0.0,178.76
2025-03-17 00:00:00,long,same direction,82346.6,0.0,5701.16,0.0,178.76
2025-03-17 04:00:00,long,same direction,82346.6,0.0,5701.16,0.0,178.76
2025-03-17 08:00:00,long,same direction,82346.6,0.0,5701.16,0.0,178.76
2025-03-17 12:00:00,long,same direction,82346.6,0.0,5701.16,0.0,178.76
2025-03-17 16:00:00,long,same direction,82346.6,0.0,5701.16,0.0,178.76
2025-03-17 20:00:00,long,same direction,82346.6,0.0,5701.16,0.0,178.76
2025-03-18 00:00:00,long,same direction,82346.6,0.0,5701.16,0.0,178.76
2025-03-18 04:00:00,long,same direction,82346.6,0.0,5701.16,0.0,178.76
2025-03-18 08:00:00,short,sell - direction change,82346.6,83117.7,5751.7,0.89,179.64
2025-03-18 08:00:00,short,buy,83117.7,0.0,5748.82,-0.05,179.59
2025-03-18 12:00:00,short,same direction,83117.7,0.0,5748.82,0.0,179.59
2025-03-18 16:00:00,short,same direction,83117.7,0.0,5748.82,0.0,179.59
2025-03-18 20:00:00,long,sell - direction change,83117.7,82263.2,5805.05,0.98,180.57
2025-03-18 20:00:00,long,buy,82263.2,0.0,5802.15,-0.05,180.52
2025-03-19 00:00:00,long,same direction,82263.2,0.0,5802.15,0.0,180.52
2025-03-19 04:00:00,long,same direction,82263.2,0.0,5802.15,0.0,180.52
2025-03-19 08:00:00,long,same direction,82263.2,0.0,5802.15,0.0,180.52
2025-03-19 12:00:00,long,same direction,82263.2,0.0,5802.15,0.0,180.52
2025-03-19 16:00:00,long,same direction,82263.2,0.0,5802.15,0.0,180.52
2025-03-19 20:00:00,long,same direction,82263.2,0.0,5802.15,0.0,180.52
2025-03-19 22:43:00,long,sell - take_profit,82263.2,86399.9,6091.01,4.98,185.5
2025-03-20 00:00:00,long,buy,86792.3,0.0,6087.97,-0.05,185.45
2025-03-20 04:00:00,long,same direction,86792.3,0.0,6087.97,0.0,185.45
2025-03-20 08:00:00,long,same direction,86792.3,0.0,6087.97,0.0,185.45
2025-03-20 12:00:00,long,same direction,86792.3,0.0,6087.97,0.0,185.45
2025-03-20 16:00:00,long,same direction,86792.3,0.0,6087.97,0.0,185.45
2025-03-20 16:28:00,long,sell - stop_loss,86792.3,84052.9,5892.77,-3.21,182.24
2025-03-20 20:00:00,long,buy,84129.2,0.0,5889.82,-0.05,182.19
2025-03-21 00:00:00,long,same direction,84129.2,0.0,5889.82,0.0,182.19
2025-03-21 04:00:00,long,same direction,84129.2,0.0,5889.82,0.0,182.19
2025-03-21 08:00:00,long,same direction,84129.2,0.0,5889.82,0.0,182.19
2025-03-21 12:00:00,short,sell - direction change,84129.2,84001.3,5877.93,-0.2,181.99
2025-03-21 12:00:00,short,buy,84001.3,0.0,5874.99,-0.05,181.94
2025-03-21 16:00:00,long,sell - direction change,84001.3,83524.7,5905.38,0.52,182.46
2025-03-21 16:00:00,long,buy,83524.7,0.0,5902.43,-0.05,182.41
2025-03-21 20:00:00,short,sell - direction change,83524.7,83921.0,5927.48,0.42,182.83
2025-03-21 20:00:00,short,buy,83921.0,0.0,5924.52,-0.05,182.78
2025-03-22 00:00:00,long,sell - direction change,83921.0,84054.6,5912.13,-0.21,182.57
2025-03-22 00:00:00,long,buy,84054.6,0.0,5909.17,-0.05,182.52
2025-03-22 04:00:00,long,same direction,84054.6,0.0,5909.17,0.0,182.52
2025-03-22 08:00:00,long,same direction,84054.6,0.0,5909.17,0.0,182.52
2025-03-22 12:00:00,long,same direction,84054.6,0.0,5909.17,0.0,182.52
2025-03-22 16:00:00,long,same direction,84054.6,0.0,5909.17,0.0,182.52
2025-03-22 20:00:00,short,sell - direction change,84054.6,84130.9,5911.58,0.04,182.56
2025-03-22 20:00:00,short,buy,84130.9,0.0,5908.62,-0.05,182.51
2025-03-23 00:00:00,long,sell - direction change,84130.9,83805.9,5928.49,0.34,182.85
2025-03-23 00:00:00,long,buy,83805.9,0.0,5925.53,-0.05,182.8
2025-03-23 04:00:00,long,same direction,83805.9,0.0,5925.53,0.0,182.8
2025-03-23 08:00:00,long,same direction,83805.9,0.0,5925.53,0.0,182.8
2025-03-23 12:00:00,long,same direction,83805.9,0.0,5925.53,0.0,182.8
2025-03-23 16:00:00,long,same direction,83805.9,0.0,5925.53,0.0,182.8
2025-03-23 20:00:00,long,same direction,83805.9,0.0,5925.53,0.0,182.8
2025-03-24 00:00:00,long,same direction,83805.9,0.0,5925.53,0.0,182.8
2025-03-24 04:00:00,long,same direction,83805.9,0.0,5925.53,0.0,182.8
2025-03-24 08:00:00,long,same direction,83805.9,0.0,5925.53,0.0,182.8
2025-03-24 12:00:00,long,same direction,83805.9,0.0,5925.53,0.0,182.8
2025-03-24 14:04:00,long,sell - take_profit,83805.9,88088.0,6225.33,5.06,187.86
2025-03-24 16:00:00,long,buy,88283.9,0.0,6222.22,-0.05,187.81
2025-03-24 20:00:00,long,same direction,88283.9,0.0,6222.22,0.0,187.81
2025-03-25 00:00:00,long,same direction,88283.9,0.0,6222.22,0.0,187.81
2025-03-25 04:00:00,long,same direction,88283.9,0.0,6222.22,0.0,187.81
2025-03-25 08:00:00,long,same direction,88283.9,0.0,6222.22,0.0,187.81
2025-03-25 12:00:00,long,same direction,88283.9,0.0,6222.22,0.0,187.81
2025-03-25 16:00:00,long,same direction,88283.9,0.0,6222.22,0.0,187.81
2025-03-25 20:00:00,long,same direction,88283.9,0.0,6222.22,0.0,187.81
2025-03-26 00:00:00,long,same direction,88283.9,0.0,6222.22,0.0,187.81
2025-03-26 04:00:00,long,same direction,88283.9,0.0,6222.22,0.0,187.81
2025-03-26 08:00:00,long,same direction,88283.9,0.0,6222.22,0.0,187.81
2025-03-26 12:00:00,short,sell - direction change,88283.9,87919.5,6193.43,-0.46,187.35
2025-03-26 12:00:00,short,buy,87919.5,0.0,6190.33,-0.05,187.3
2025-03-26 16:00:00,short,same direction,87919.5,0.0,6190.33,0.0,187.3
2025-03-26 20:00:00,long,sell - direction change,87919.5,86518.6,6285.87,1.54,188.84
2025-03-26 20:00:00,long,buy,86518.6,0.0,6282.73,-0.05,188.79
2025-03-27 00:00:00,long,same direction,86518.6,0.0,6282.73,0.0,188.79
2025-03-27 04:00:00,long,same direction,86518.6,0.0,6282.73,0.0,188.79
2025-03-27 08:00:00,short,sell - direction change,86518.6,87349.9,6339.95,0.91,189.7
2025-03-27 08:00:00,short,buy,87349.9,0.0,6336.78,-0.05,189.65
2025-03-27 12:00:00,long,sell - direction change,87349.9,86900.1,6366.25,0.46,190.12
2025-03-27 12:00:00,long,buy,86900.1,0.0,6363.06,-0.05,190.07
2025-03-27 16:00:00,long,same direction,86900.1,0.0,6363.06,0.0,190.07
2025-03-27 20:00:00,long,same direction,86900.1,0.0,6363.06,0.0,190.07
2025-03-28 00:00:00,short,sell - direction change,86900.1,87181.7,6380.5,0.27,190.34
2025-03-28 00:00:00,short,buy,87181.7,0.0,6377.31,-0.05,190.29
2025-03-28 04:00:00,short,same direction,87181.7,0.0,6377.31,0.0,190.29
2025-03-28 08:00:00,short,same direction,87181.7,0.0,6377.31,0.0,190.29
2025-03-28 12:00:00,short,same direction,87181.7,0.0,6377.31,0.0,190.29
2025-03-28 16:00:00,short,same direction,87181.7,0.0,6377.31,0.0,190.29
2025-03-28 20:00:00,short,same direction,87181.7,0.0,6377.31,0.0,190.29
2025-03-29 00:00:00,short,same direction,87181.7,0.0,6377.31,0.0,190.29
2025-03-29 04:00:00,short,same direction,87181.7,0.0,6377.31,0.0,190.29
2025-03-29 08:00:00,short,same direction,87181.7,0.0,6377.31,0.0,190.29
2025-03-29 10:56:00,short,sell - take_profit,87181.7,82767.1,6697.05,5.01,195.3
2025-03-29 12:00:00,short,buy,82245.0,0.0,6693.7,-0.05,195.25
2025-03-29 16:00:00,short,same direction,82245.0,0.0,6693.7,0.0,195.25
2025-03-29 20:00:00,short,same direction,82245.0,0.0,6693.7,0.0,195.25
2025-03-30 00:00:00,short,same direction,82245.0,0.0,6693.7,0.0,195.25
2025-03-30 04:00:00,short,same direction,82245.0,0.0,6693.7,0.0,195.25
2025-03-30 08:00:00,short,same direction,82245.0,0.0,6693.7,0.0,195.25
2025-03-30 12:00:00,short,same direction,82245.0,0.0,6693.7,0.0,195.25
2025-03-30 16:00:00,short,same direction,82245.0,0.0,6693.7,0.0,195.25
2025-03-30 20:00:00,short,same direction,82245.0,0.0,6693.7,0.0,195.25
2025-03-31 00:00:00,short,same direction,82245.0,0.0,6693.7,0.0,195.25
2025-03-31 04:00:00,short,same direction,82245.0,0.0,6693.7,0.0,195.25
2025-03-31 08:00:00,short,same direction,82245.0,0.0,6693.7,0.0,195.25
2025-03-31 12:00:00,long,sell - direction change,82245.0,82169.3,6696.51,0.04,195.3
2025-03-31 12:00:00,long,buy,82169.3,0.0,6693.17,-0.05,195.25
2025-03-31 16:00:00,long,same direction,82169.3,0.0,6693.17,0.0,195.25
2025-03-31 20:00:00,long,same direction,82169.3,0.0,6693.17,0.0,195.25
